Scheme Name, Net Asset Value
Sundaram Banking and PSU Debt Fund Direct Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW), 11.5419
Sundaram Banking and PSU Debt Fund Regular Plan - Bonus, 17.9309
Sundaram Banking and PSU Debt Fund Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW), 10.3550
Sundaram Banking and PSU Debt Fund Regular Plan - Growth, 35.5581
Sundaram Banking and PSU Debt Fund Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW), 11.5942
Sundaram Banking and PSU Debt Fund Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW), 12.1135
Sundaram Banking and PSU Debt Fund Retail Plan - Growth, 32.0454
Sundaram Banking and PSU Debt Fund Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW), 11.4988
SundaramBanking&PSUDebtFund-RegularDailyDividendReinvestment, 11.6582
Tata Banking & PSU Debt Fund  Direct Plan - Payout of Income Distribution cum capital withdrawal option , 12.0993
Tata Banking & PSU Debt Fund  Direct Plan - Reinvestment of Income Distribution cum capital withdrawal option , 12.0993
Tata Banking & PSU Debt Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option , 11.9088
Tata Banking & PSU Debt Fund Regular Plan - Reinvestment of Income Distribution cum capital withdrawal option , 11.9088
Tata Banking & PSU Debt Fund-Direct Plan-Growth, 12.0993
Tata Banking & PSU Debt Fund-Regular Plan-Growth, 11.9088
TRUSTMF BANKING & PSU DEBT FUND - DIRECT GROWTH, 1067.6896
TRUSTMF BANKING & PSU DEBT FUND - REGULAR GROWTH, 1057.9373
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION, 1031.2338
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL, 1070.6366
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION, 1014.7078
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL, 1031.0332
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL, 1010.4689
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL, 1021.6111
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL, 1059.5196
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL, 1009.8538
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL, 1022.1469
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL, 1008.8402
UTI Banking & PSU Debt Fund - Direct Plan - Annual IDCW, 12.4463
UTI Banking & PSU Debt Fund - Direct Plan - Flexi IDCW, 15.8556
UTI Banking & PSU Debt Fund - Direct Plan - Growth Option, 18.3998
UTI Banking & PSU Debt Fund - Direct Plan - Half-Yearly IDCW, 12.2098
UTI Banking & PSU Debt Fund - Direct Plan - Monthly IDCW, 12.5271
UTI Banking & PSU Debt Fund - Direct Plan - Quarterly IDCW, 13.6945
UTI Banking & PSU Debt Fund - Regular Plan - Annual IDCW, 12.329
UTI Banking & PSU Debt Fund - Regular Plan - Flexi IDCW, 12.2189
UTI Banking & PSU Debt Fund - Regular Plan - Half-Yearly IDCW, 12.1679
UTI Banking & PSU Debt Fund - Regular Plan - Monthly IDCW, 12.4277
UTI Banking & PSU Debt Fund - Regular Plan - Quarterly IDCW, 12.504
UTI Banking & PSU Debt Fund- Regular Plan - Growth Option, 18.2208
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan, 93.5435
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan, 92.4023
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW, 10.6548
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW, 12.3925
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW, 12.7218
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW, 12.262
Aditya Birla Sun Life Income Fund-Plan A(Dividend), 11.7535
Aditya Birla Sun Life Income Fund-Plan D(54EA Dividend), 10.6457
Aditya Birla Sun Life Income Fund-Plan E(54EA Growth), 35.2986
Aditya Birla Sun Life Income Fund-PLan F(54EB Dividend), 15.5708
Aditya Birla Sun Life Income Fund-Plan G(54EB Growth), 35.0763
Axis Corporate Debt Fund - Direct Plan - Daily IDCW, 10.2348
Axis Corporate Debt Fund - Direct Plan - Monthly IDCW, 10.2060
Axis Corporate Debt Fund - Direct Plan - Regular IDCW, 13.6149
Axis Corporate Debt Fund - Direct Plan - Weekly IDCW, 10.3718
Axis Corporate Debt Fund - Direct Plan Growth, 14.6545
Axis Corporate Debt Fund - Regular Plan - Daily IDCW, 10.2347
Axis Corporate Debt Fund - Regular Plan - Monthly IDCW, 10.2021
Axis Corporate Debt Fund - Regular Plan - Regular IDCW, 13.0489
Axis Corporate Debt Fund - Regular Plan - Weekly IDCW, 10.2532
Axis Corporate Debt Fund - Regular Plan Growth, 14.0719
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option, 10.7056
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option, 26.0211
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option, 10.0519
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option, 10.1343
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option, 10.8567
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option, 23.6854
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDWC Option, 10.1095
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option, 10.3093
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDWC OPTION, 10.6453
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION, 22.4844
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION, 10.0820
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION, 10.2075
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION, 19.2764
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment), 11.9687
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION, 18.2914
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment), 11.3556
DSP Corporate Bond Fund - Direct - Growth, 13.4377
DSP Corporate Bond Fund - Direct - IDCW, 11.2289
DSP Corporate Bond Fund - Direct - IDCW - Monthly, 10.4412
DSP Corporate Bond Fund - Direct - IDCW - Quarterly , 11.2246
DSP Corporate Bond Fund - Regular - Growth, 13.2950
DSP Corporate Bond Fund - Regular - IDCW, 11.1910
DSP Corporate Bond Fund - Regular - IDCW - Monthly, 10.4239
DSP Corporate Bond Fund - Regular - IDCW - Quarterly , 10.5747
Franklin India Corporate Debt Fund - Direct - Bonus, 0.0000
Franklin India Corporate Debt Fund - Direct - GROWTH, 87.4879
Franklin India Corporate Debt Fund - Growth, 81.9400
Franklin India Corporate Debt Fund - Monthly Bonus, 0.0000
Franklin India Corporate Debt Fund - Plan A - Annual - IDCW, 17.0807
Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW, 18.9068
Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW, 14.6942
Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW, 16.4900
Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW, 13.7352
Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW, 12.9288
Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW, 14.8891
Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW, 12.3605
HDFC Corporate Bond Fund - Growth Option, 26.6666
HDFC Corporate Bond Fund - Growth Option - Direct Plan, 27.0727
HDFC Corporate Bond Fund - IDCW Option, 17.2752
HDFC Corporate Bond Fund - IDCW Option - Direct Plan, 17.7182
HDFC Corporate Bond Fund - Quarterly IDCW Option, 10.4123
HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan, 10.2544
HSBC Corporate Bond Fund - Direct Annual IDCW, 12.0484
HSBC Corporate Bond Fund - Direct Growth, 63.9348
HSBC Corporate Bond Fund - Direct Quarterly IDCW, 11.5139
HSBC Corporate Bond Fund - Direct Semi Annual IDCW, 20.0136
HSBC Corporate Bond Fund - Regular Annual IDCW, 11.8971
HSBC Corporate Bond Fund - Regular Growth, 60.5484
HSBC Corporate Bond Fund - Regular Quarterly IDCW, 11.1725
HSBC Corporate Bond Fund - Regular Semi Annual IDCW, 16.9717
HSBC Corporate Bond Fund -Regular Plan - Bonus, 22.9996
ICICI Prudential Corporate Bond Fund - Bonus, 14.9782
ICICI Prudential Corporate Bond Fund - Daily IDCW, 10.1065
